CPU only time (ns): 1.62665e+09
PIM only time (ns): 1.79842e+09
Reuse offloading time (ns): 5.59413e+08 = CPU 1.64089e+08 + PIM 3.95299e+08 + REUSE 24030 + SWITCH 240
============================================================
  BBLID  Decision            CPU            PIM     difference          Hash(hi)          Hash(lo)
      0         P    4.80099e+07    4.24117e+06    4.37687e+07  0000000000000000  0000000000000000
      1         C         822521    4.28716e+06   -3.46464e+06  0000000000000001  0000000000000001
      2         C        1.33333            320       -318.667  01582e522eef5c09  7d6246041917a2d4
      3         C        73748.3         658112        -584364  01dea712495232df  01f5500f91ce0a0b
      4         P            200           1053           -853  04b142aa57bfa8fd  bd7689744782a4fd
      5         C    1.28077e+08    1.05029e+09   -9.22213e+08  088db3f49e168995  7d83be8c4cb7a91d
      6         C        58771.3         592944        -534173  0f28fb2ee139fe5c  a5148e1e44998184
      7         C           3477          12620          -9143  11f024daec2e3d01  770de9398facdd26
      8         C        58540.3         658318        -599778  13c7bb3346acafab  dc4fe04a54b49dcd
      9         C       0.666666            480       -479.333  182df6501804aeaf  08dffb55c7f741f0
     10         C        1.33333            264       -262.667  214156420bb030f1  a773c4cdf639fe8a
     11         C       0.999999            554           -553  2738940033675362  d782b9eff7606729
     12         C           3733          10566          -6833  28ce3d4c5623e2bb  026f92baf6609948
     13         C       0.999999            320           -319  29fe24c2e013b445  fd8993f04f3b5fce
     14         C        3.33333            434       -430.667  2f596e4c26da8253  f66e857a7bf02277
     15         P    2.20524e+07    2.04811e+06    2.00043e+07  385b144423a0d45a  5a09c94dc1c02478
     16         C        390.666            997       -606.334  3ee706f2c45964cb  f29d4e4feb1ab7d8
     17         C        5232.66          15529       -10296.3  418beae2465d0fea  67e0ef5dc332bb29
     18         P    4.29253e+06      1.228e+06    3.06453e+06  4498a91ad017f6f0  f43fe3e2a0fee3d6
     19         C       0.333333              5       -4.66667  4558b5de0119fcf9  e61a5d26c21d8a4b
     20         C        9731.32          14626       -4894.68  4a78e5c210eceea9  ae02ebc28a27fd6c
     21         C        84668.9         595239        -510570  4c5e0560fdb180b5  a8fd65c78e2b257b
     22         C        30673.6         265102        -234428  59d73740954a8016  b52c4907b3f35356
     23         C        76.9999           1083          -1006  5ae9a4dfd528e3b1  6c47a29239de2f8b
     24         P    1.62226e+07    3.24575e+06    1.29768e+07  5e491b06d22be7bb  444abfdc1ce19846
     25         C        26.6666            642       -615.333  60ea3b1b7db3f09e  724ebc3cacaef67f
     26         C       0.666666              5       -4.33333  631ef3e0786d72c2  dd46bce2c670990b
     27         C           1932           5865          -3933  702bfd12ad2e5429  00c9d55b2f70b8b1
     28         C        82.6666           1203       -1120.33  712565adba22acc5  1fb145ccbfc8fbda
     29         P    1.18032e+07     4.0961e+06     7.7071e+06  75db73846b457bec  9aa929a1d3f3c241
     30         C    2.57901e+06    1.12153e+07   -8.63629e+06  7713d147f05606c0  d9268643e773bb4e
     31         P    8.25911e+06     3.6564e+06    4.60271e+06  8201bad0bdaa5758  5b7f3739d35d7898
     32         P    1.82635e+07     1.8441e+06    1.64194e+07  8268c6989ca2d164  0e1aef8656d41c66
     33         P     7.1348e+06    2.66449e+06    4.47031e+06  8495c4ee004a41fb  4597fdda3f7bbe0a
     34         C           1017          90576         -89559  95a571800acd01e0  63e809f4f9f4228d
     35         P            134            808           -674  966a49fc234c07b9  68fbee2f2af5f276
     36         P       0.999999             61            -60  96c1c02960456162  55939d8cf24867bf
     37         C           4653           8732          -4079  a03b83bad90f82b2  09b03e8ce981cecb
     38         P        132.667            900       -767.333  a876ed1748a5a400  7513e7331e69a009
     39         P    3.51467e+07    7.02619e+06    2.81205e+07  aa22b9b389da659e  8ce6e4485a1dd742
     40         P        133.333            453       -319.667  ae3ba6503a67a8af  06b9d36b5d98ed90
     41         C        60807.6         590139        -529331  af2d8f124ee382f3  1fe9b404aecdb4fd
     42         C        62.6666             60         2.6666  b1fcc7144e445e4d  5a4c17e4b21b2c7b
     43         C        11.6667              4         7.6667  b7450f6f1bc7e565  b8065b98c7421654
     44         C           1729           8561          -6832  b7cf33cc7a2b2ba2  f193d26c506b7ca4
     45         P    1.72939e+07    9.23381e+06    8.06009e+06  bb58eed2205fc726  5cf7c6b6145b9e44
     46         C          14171          85550         -71379  c03aa6ae9dc4e9d4  8aaf4f96e0e710bc
     47         C    3.21111e+07    3.32746e+08   -3.00635e+08  c36d87251a09f9c6  9bcf420bb534be26
     48         C        6935.66           9839       -2903.34  c831ee73bafb87e3  e9741166ff2f46cf
     49         P    3.19523e+07     1.4802e+07    1.71503e+07  c99fbc36a14cce0d  99cfe9e790f356c6
     50         C        131.333            172        -40.667  cfe9d0592f528fb5  3a66d52a2421354a
     51         C        28407.6         262144        -233736  d7628d489b4db300  24e6216a3fcf78c2
     52         C       0.333333           6491       -6490.67  ddd4c108a176d748  fa0b6ec46ba47764
     53         C           1638           5275          -3637  df210335dc8fa1a6  9039a5df0e2da001
     54         P    1.70927e+07     2.1527e+06      1.494e+07  e24840f08f4bce00  073e0cf047ced4c5
     55         P    6.40917e+08    1.67815e+08    4.73102e+08  e4924ec300081e79  826d438896e9d2be
     56         C        1534.67           3988       -2453.33  e8ea7fda0a8b626c  d68f1f0790f38235
     57         C       0.333333           4224       -4223.67  ea88b17686076561  6696be8a0bda46b6
     58         C        86.9999           1333          -1246  ee34ec97da4ccb9f  b91d35765d9820be
     59         C        43196.6         655360        -612163  f0223d3fc11c419e  39e77d778c23b8c5
     60         P    2.03998e+08    5.35718e+07    1.50426e+08  f1169926c360a0fd  4c1a780fb1de5c7f
     61         P    2.28795e+08    8.65847e+07     1.4221e+08  f336f1c69927d23d  4314ff1d6ef37b1e
     62         P    1.38917e+08    2.57609e+07    1.13156e+08  fc8786089f201ae5  0893059568224a6d
     63         C           4173          10207          -6034  fdb602ce0b0db320  23a6903e942b44cb
     64         P    1.24102e+07    5.32487e+06    7.08533e+06  fe6fb8949b2c2950  b495d39c51405a46
