CPU only time (ns): 1.6997e+10
PIM only time (ns): 1.45678e+10
Reuse offloading time (ns): 1.47849e+10 = CPU 8.74907e+08 + PIM 8.74699e+09 + REUSE 5.16302e+09 + SWITCH 3.17391e+09
============================================================
  BBLID  Decision            CPU            PIM     difference          Hash(hi)          Hash(lo)
      0         C         989761    4.77929e+06   -3.78953e+06  0000000000000000  0000000000000000
      1         C      9.886e+07     8.1029e+08    -7.1143e+08  0000000000000001  0000000000000001
      2         P        13.3333            356       -342.667  00159e132c79d714  a0cc936df997f410
      3         C        12.6667             50       -37.3333  0064dd06d1feb1ba  f1856b7229f4482c
      4         C        1900.66           4754       -2853.34  0065b43c7cef76d7  68fa6035c19df53a
      5         P        55999.9         163948        -107948  006982dc69f8d851  75640c52a8d18988
      6         C        99.6666            361       -261.333  009456e36c4d699e  577f396e4ea03494
      7         C        1720.66           1230         490.66  009c25de49bf40e9  abff4930833adc8c
      8         C        1320.67           4986       -3665.33  00a4341304da6e6a  4a8dd47edcfd1eb8
      9         C            268            250             18  00afa29ae6887a5c  74c668f29e90a635
     10         P           3967           2646           1321  00bf37217967d38a  c41f8627d5767d83
     11         C            272           4274          -4002  00ceef7f88c65a3e  be28f604364d6ddc
     12         C            149           1444          -1295  00e84218bad89ad7  5acb5bc7c04af502
     13         C            268            609           -341  010ff09e6f832158  92d5721357a93df1
     14         C        66.6666            852       -785.333  012dd2d9f5a2a9cb  7577b01105fb5cb9
     15         P    1.91796e+08    1.21476e+08      7.032e+07  012ed671654f3d99  826c0992b8ffae00
     16         C        368.666           8560       -8191.33  01311f7b563f49c6  85f72668b0b6b559
     17         C             17            384           -367  0131ba6c4224e8b5  697fb0d5b5abc60a
     18         C        12.3333            358       -345.667  013d69c83fbb8828  448ae8e5d06f2ec3
     19         C        4393.33          27064       -22670.7  014287510a38f1cf  02c2a2c30b40b738
     20         C        486.333           3448       -2961.67  01456be59806932e  8581f75610d37519
     21         C        4339.33          47968       -43628.7  015b637d3c1cfd02  ad5a91a55fb8883a
     22         C            393            517           -124  0165c29ccfc13f95  58514130e8633e45
     23         P    2.99441e+06    2.90207e+06          92340  0165dd960437caf3  2fb383374269872e
     24         P        28060.3          11024        17036.3  01704272eafba0cf  048b806a191c71c9
     25         C        78.3333            231       -152.667  017691bdd2094c52  9012bc34b211f2bb
     26         C        35.3333          15539       -15503.7  018cac1c97a1a381  993126abe91e98bf
     27         C             28           1693          -1665  01c90f08ba283f30  0dcba72c025fad89
     28         C        3.66666            256       -252.333  01cc46fc3e7198f2  868f0b1797e6a07f
     29         C        12.3333            345       -332.667  01cddd407f8b1a57  e5d922e376807413
     30         C        174.666           1714       -1539.33  01d107799e333cc9  306d75ee262dcc03
     31         P     7.0284e+06    1.84666e+06    5.18174e+06  01dc9eae80e8686d  abe1203ad9f1c717
     32         C        166.333            684       -517.667  01dce10f8fb09b62  20e4b67e012dd35a
     33         P        148.333            452       -303.667  01e81627b73acadd  68dddc946deafbe1
     34         C        5.33333            162       -156.667  01f8e71da1023e36  914957bc9f15a699
     35         P    1.08221e+07    3.29344e+06    7.52866e+06  01f91a19c1488daf  92b9e462f6599494
     36         C        428.666            420          8.666  01f975f99945ed11  bb99e2e6eeb9d03a
     37         P    2.49356e+06    1.24286e+06     1.2507e+06  02005808cf56d13f  c927526308e0dee1
     38         P    9.81222e+06    4.89092e+06     4.9213e+06  0213535bfd35a71e  f8f6b961b17398f2
     39         P        69.9999             27        42.9999  0232059cb128ac2e  87fa60fbff108f61
     40         P    2.32517e+06         482632    1.84254e+06  0249c91f8dd6b8ef  1b64bbacefbe4469
     41         C       0.333333              4       -3.66667  0263c89fe828e1d0  7b824cfc5e277c06
     42         C              4             16            -12  02649ebe0eb504bc  5e251cd832207287
     43         C        401.666           2880       -2478.33  02aa5e8ccbb36b57  e912569d50e61702
     44         C        362.666            440        -77.334  02b1d44af06d52a2  b1c6e109fc7a7234
     45         C        69.6666            128       -58.3334  02b30964ca54a992  88e2a2f8715518a0
     46         C        74.6666            768       -693.333  02b9497d9e3537a2  2a57cc24a1b8ba1c
     47         C        10.6667           1879       -1868.33  02bd123e173bed77  642b900d94d9b61b
     48         C        2.66666            175       -172.333  02c83dd3d4226e17  386981da3e62472f
     49         C        340.666           2400       -2059.33  02d19784dc6cc9f2  79446a18fd33f972
     50         P    9.70216e+06    1.76256e+06     7.9396e+06  02d99ead95e0909f  25c21014a369aa46
     51         C        691.333          12976       -12284.7  032b4619488e178f  6d1d1558e6eaa671
     52         C        6.33333             75       -68.6667  032dca445f2cb515  9e7d570e4ed66b41
     53         C        141.333            197        -55.667  033ae0238112ae61  0b9ebe3629a0823b
     54         C       0.333333             49       -48.6667  039e9c18af36ba93  01da0eb210a8ddda
     55         P        1843.66           1884         -40.34  03b767b065d47192  38ca1579a7dcbce1
     56         P    4.64475e+06    4.54815e+06          96600  03b7e69837a24f36  d4e74891343189e4
     57         C        9191.32          22225       -13033.7  03c3a17d046af256  48f015812dc96067
     58         C        548.999            420        128.999  03df7771491af0bf  5abd63184241e8a9
     59         C        997.332           1709       -711.668  0424c8a83f645566  e2ba152fcccbccaf
     60         P        84097.2         176052       -91954.8  043682ea51798fa5  ba323a126474684d
     61         C        16.6666             16         0.6666  044433465f5ee80d  c17969957bd35948
     62         C        15.3333             80       -64.6667  04595d4930bc0c7e  5e0e26a4ceb7c338
     63         C        8.99999            191           -182  04ae866ce1be5454  ee229671968900e4
     64         P             13            160           -147  04b289f2c50b6dde  6f25ace780a87f6c
     65         C        8080.66          44925       -36844.3  04c1dd2f630e145d  1976cb6d07eef0fd
     66         C            326            841           -515  04cd4cff091642e4  7a730a3f4cb31ed6
     67         C        8.33332             80       -71.6667  04d25300663113cb  87351f40e6ad9afe
     68         P         827539     8.0408e+06   -7.21326e+06  04dee302e7b6472a  f3e1aad9dce463d3
     69         C        7.99999            536           -528  04e7604628d55857  442388d6498de391
     70         C        5286.66           5872        -585.34  04f0b05434d7f9c5  af577e9a4520dc36
     71         C        3358.33           2228        1130.33  05305dcca0abf206  5738965a471cfd5e
     72         P        28013.6          11024        16989.6  05484140e04f7ca4  cbf6866c23a03661
     73         C        65406.3         799420        -734014  057dc33f5a8070af  d28106733e82096c
     74         P     2.4321e+07    5.85308e+06    1.84679e+07  05a566a912f9cba0  aabce6de2fc5ef4c
     75         C        78.9999             29        49.9999  05d6591ad7a1ea62  172d1ab61ee475b9
     76         C        110.333             48         62.333  05e260e66042353f  5f17ea3ed33e3662
     77         C        135.667           1062       -926.333  062428e75312fc7f  f574f610fc718f55
     78         C        785.666            943       -157.334  0625608c2a16dc7d  3eb1a293146092c5
     79         P             15             80            -65  06365de145f6a611  133e0f94276a3baa
     80         P         339858          27580         312278  0641f411d4c30166  d6a86cc467f510b2
     81         C        217.666            554       -336.334  0650f70a3ed9c1e4  1d6e57fe8382c93d
     82         C            237            109            128  065c54b2e2f37f36  67022a22ec7f2792
     83         C           1161           1645           -484  0661e361012b2f17  57146acb187e81f9
     84         C        1078.67          11571       -10492.3  067ee283ed984126  fe6d4c6ac43b3b04
     85         C           1193           3921          -2728  068ff5217a2dfa13  6136f446186a1676
     86         P          28000          11024          16976  06a21747a0057cb2  3b9893379d40fd02
     87         P             14             84            -70  06af7c8e684d5c28  7c7b4c4b56c3c09e
     88         C        1605.33            340        1265.33  06b496b672cad43e  fa3041aaf11e9f06
     89         C        522.999           1785          -1262  06c01e905a01034a  4afb2d798849cf45
     90         C        1.66667             61       -59.3333  06c32cf645de36dd  c761bcc1ef0338bb
     91         C            128            288           -160  072b54c0224a0ab5  e0c34f5475bbf98d
     92         P        3324.66            645        2679.66  074e747275500433  f8b4f82b55efec45
     93         C        3.66666            383       -379.333  07636877c7ec42b2  5545017045051642
     94         C        71.3333            184       -112.667  076866d72573c10b  568d91fd74ee4cec
     95         P         419583    3.49542e+06   -3.07584e+06  0769423b88445a4e  5f880bb96cab5bae
     96         C        1915.33            984         931.33  076bd75a0b0d586b  baf1929d6c5decaf
     97         C        81.6666           1308       -1226.33  07764324ce4f6975  2ed846b3eb0ad1b4
     98         C        12162.7         163911        -151748  077c1e9d1b5122af  9dd7e9255e20bebc
     99         P        56001.3         244290        -188289  079a3f6ad3645985  8ff28eb83507b566
    100         C       0.666666             57       -56.3333  079cf0830e69b1f9  42461d64a1029c76
    101         C        64.3333           1092       -1027.67  07a3f1cf9a88b76f  9835cbc3699dd87b
    102         C        62.6666           1045       -982.333  07c7d1e9e28558f3  0d48de1b0f850e9f
    103         P         269968    1.11697e+06        -847002  07f7732ef16b59a8  5f9aea240a01a908
    104         C            206            987           -781  07f7b713bd9d3868  887ce0bafcd6ff87
    105         C        67.6666           2298       -2230.33  08043b342b80f237  8c1c93df6f6a1dfa
    106         C        28225.6         233090        -204864  082387497ecc7055  e5b99c02f1d311f8
    107         C       0.666666              8       -7.33333  0864a32ec00e3576  4421769b253b0db5
    108         P     7.6224e+07    2.04326e+07    5.57914e+07  08789371d5ea1853  4cd2dbd2edd8b36f
    109         C        500.666            381        119.666  08804ac25ff34bb1  3ed65c501130387a
    110         C        198.333            187         11.333  08a18b53fae9afac  d336effa9151aa92
    111         C        1073.33           1384        -310.67  08add333dfc52d2a  2b956ecb859da25a
    112         C    3.20077e+06    1.29406e+07   -9.73983e+06  08c237b7d9e3e2ae  5d31d982e04a7c46
    113         C        67.3333            804       -736.667  08d447c2a3ca962c  0de7c5a97f32dc4b
    114         C       0.333333             55       -54.6667  08fca1af98941df0  e165fd007fb51a1f
    115         P    2.35763e+07    1.42871e+07     9.2892e+06  09062663e33c2143  42d99bda2dea973a
    116         P        297.333           3281       -2983.67  0909e01420fac6a7  32a3bae01f6c5191
    117         P    1.99031e+08    9.69479e+07    1.02083e+08  094394d3ea04085a  ae361eb9fe3524df
    118         C        7.99999            151           -143  0946b9277873c396  b15a73b365051b5a
    119         C        2.66666             99       -96.3333  09985c273a8b4d7b  179c045e9d003f4d
    120         C        2.66666             94       -91.3333  09a90e2f8fe32d31  1e595e8e243f50cd
    121         C        473.333            374         99.333  09eceb52e92ab058  d10abefe4ade401b
    122         C       0.666666             55       -54.3333  09f79a4ca0588c72  5ef0d00d0f998d44
    123         C        45.6666            585       -539.333  0a057570c8b1bb0c  e5298e910cbccfc4
    124         C        58.6666            426       -367.333  0a070dafc5e39e72  5604bb497654b553
    125         C       0.666666              8       -7.33333  0a0852e5a4a3bbe2  15e5438776407354
    126         P    2.91204e+06     2.4489e+06         463140  0a0c0ace5aaa7a4f  84d8740b973246ad
    127         C        24377.3         151245        -126868  0a1b99ca7b43a1d2  a379bf015ffbdb61
    128         P        14329.7           6606         7723.7  0a1c3c339a684d2c  c848a84cb2e14e4b
    129         P    2.69364e+06         586551    2.10709e+06  0a5951d86b21858f  bf8454de8ffeaece
    130         C           3904           5574          -1670  0a8102632f6305dd  c89022ff24a193c0
    131         C              4            462           -458  0ab52c5761d0d65c  4efe0289d63a9beb
    132         C        255.666           1929       -1673.33  0aca98e3b48de214  43b916c7667486fc
    133         C           1718           5089          -3371  0acc6ec0e806263b  a93ed2a669b09eb3
    134         C        5135.99         156528        -151392  0af46c27d014dddb  ad3f1f7b6e441732
    135         C        87.9999             92        -4.0001  0aff8d38b8a53373  cd1082a7ee236476
    136         C        1.66667            240       -238.333  0b056ff9072cbcce  bfb00e3f81464aab
    137         C        9.66666            303       -293.333  0b09afbbedd92c51  ca4a919e30318a5c
    138         C        6002.99         112102        -106099  0b26f56cc6322086  cc785f89bfb20c97
    139         C            478          16626         -16148  0b34e5adb3dc4d10  61f82445113214e4
    140         P        55999.3          22048        33951.3  0b699202b6114b5e  4c62715a54a24b7e
