CPU only time (ns): 1.15535e+10
PIM only time (ns): 1.09151e+10
Reuse offloading time (ns): 5.54602e+09 = CPU 3.27693e+08 + PIM 5.21827e+09 + REUSE 58410 + SWITCH 8760
============================================================
  BBLID  Decision            CPU            PIM     difference          Hash(hi)          Hash(lo)
      0         C         860407    4.25817e+06   -3.39776e+06  0000000000000000  0000000000000000
      1         C        194.666           2036       -1841.33  0000000000000001  0000000000000001
      2         C        90.3332            292       -201.667  000e761ae50faeaa  fc2627e653ef164b
      3         C    1.20084e+07    1.43008e+08      -1.31e+08  0016c210876d188e  1896d0f652f2eb6e
      4         P        6522.99          39025         -32502  00370326542a4366  de501f3dbfa50105
      5         P    4.84411e+06    3.67101e+06     1.1731e+06  004fca66440fa024  ca54c6def5be661f
      6         P     1.9217e+06    1.36944e+06         552260  00bd0e273a3a245d  18ae40372d8244c0
      7         C        151.333            189        -37.667  00bfc0ba3a733a6b  848d92265e3bb434
      8         P     2.1679e+06         565950    1.60195e+06  00fb156d666ea64d  1168c33f63180557
      9         P         812754         454193         358561  01025e7522c9e0ad  70851323f80a7c11
     10         C       0.666666             66       -65.3333  01771644325e8f98  d8ae469d6153e9a5
     11         P        14752.3          61954       -47201.7  01b0bec713c6f490  5660e2077f89c529
     12         P        6386.99          24547         -18160  0264ae087f98b739  3606a74b67327fe1
     13         P         650876         226380         424496  026d8acec501ebfe  7296e9e9fc911b19
     14         C             46           5939          -5893  02b17089db56af7a  da390058a5af17db
     15         C       0.333333              9       -8.66667  037691a5d8fb0f7e  54081fef6dcb07b5
     16         C        27780.3          56114       -28333.7  03dde33a0b44bff9  2c9452853b1b94a2
     17         C              2             45            -43  040145b54a2e06ee  9de63ee61dac94a0
     18         P        15331.3          61736       -46404.7  0463e68fa2b663eb  740657c9a22ca145
     19         C         111580    2.48682e+06   -2.37524e+06  04fcc45e3ca641cd  86b58bed40034005
     20         P         506241         214959         291282  0560e254545d28b6  e559fb820b0b2b2f
     21         P    6.91717e+07    1.64752e+07    5.26965e+07  057b92a2436f5168  62fa6185e3b620a5
     22         P        153.333           1254       -1100.67  05cb37cd0076e5a8  5e973a1883f2b852
     23         P    1.53679e+07    2.05505e+06    1.33128e+07  061fd98b2b7c7e66  0d12a0755ffa8e96
     24         P    8.08108e+07    3.21724e+07    4.86384e+07  06b6644228c7d15c  465e03411778c715
     25         C        454.666            416         38.666  0893560563c2c79a  02937465f72e0329
     26         C    4.27155e+07    4.16995e+08    -3.7428e+08  08c6ec4afb600d22  8b3b5f163b771911
     27         C          46776         541696        -494920  08f09bf14647a262  7d4177b258d41936
     28         C        90624.9    1.35424e+06   -1.26362e+06  09344272ac9abbed  ae1125a91e09bdda
     29         P        17284.3          76407       -59122.7  093a882a8c5673b3  a0b54b7e283b8f1a
     30         C       0.333333            288       -287.667  0978a9e159d8d7bf  5330826ee8a40c9d
     31         C        1.33333           1888       -1886.67  09b795ad8dcc877b  a8199c6f270d342e
     32         P        233.666           1847       -1613.33  0a4b92b24665ad88  0680dc0d247c79e6
     33         C        2906.33          19613       -16706.7  0b94c084934fcdbd  8827dd7572a000fb
     34         C       0.333333            339       -338.667  0d344fac30ffacde  fce04c9666990cee
     35         C        9668.99          52563         -42894  0eaad2f400047848  e29cdf96acad6730
     36         P              5            518           -513  102cc3c824900544  bfbb840e80219810
     37         P        1.66667            317       -315.333  105ed28bcaf4673b  4146f18bcb6da41b
     38         P    1.29066e+07    3.08893e+06    9.81767e+06  10b506793465de72  73d05c4d8c0536ed
     39         C    1.20131e+07    1.43008e+08   -1.30995e+08  11134c49a87ae2b4  311ad693626897e5
     40         C        3.33333            193       -189.667  11ddccfae1a21ff0  6899f7ce41b44d20
     41         C        2915.33          20103       -17187.7  12c081f8f5d8f52d  d9a23b31dfc25482
     42         P         448402         186386         262016  13208846cac4c164  dfd4986bf42ba512
     43         P        20794.3          41873       -21078.7  1353bf8045cd6be3  e12867a8787f3ba6
     44         P        76.6666            240       -163.333  13dc592e53754272  0314e26e3f9139fb
     45         P        59527.9         249824        -190296  1469fce719c1bca0  8b20d077243a6739
     46         C    1.51435e+06    9.57696e+06   -8.06261e+06  1490f26286905501  55503d9e3f165dab
     47         P            230           1280          -1050  1558863b381579bc  eb6b682c7b35e539
     48         C    1.40506e+06    1.47657e+07   -1.33606e+07  15df29167cc03b85  7241582747a9287a
     49         P        14756.3          61773       -47016.7  1624ad9ec7393a6e  8e767229f74694a0
     50         P        158.333           3831       -3672.67  1627d16d4f65e814  8b61ae264f5c88e7
     51         P        158.333           4502       -4343.67  16988a99be089af0  2b88780b75add4d8
     52         C     2.4254e+06    2.40103e+07   -2.15849e+07  16d622d84b2aa6c2  c3b03a18f1bcfe5d
     53         P    1.74425e+08    4.11697e+07    1.33255e+08  16efc50f96edd867  dea7a4f25d21d31c
     54         C        67096.9    1.46923e+06   -1.40213e+06  17e10816820570b7  228668a79145fa67
     55         P    1.71696e+06         567188    1.14977e+06  18b243f06b378e1f  25ffefa8d6312e92
     56         P    1.03948e+06         283844         755636  18e7abb70d8682b7  46118b5778e99d7b
     57         C        1.33333           1476       -1474.67  191042c6b8e16523  27c5a5d3b2507dac
     58         P    7.55328e+07    1.64665e+07    5.90663e+07  1985d2f064203ad2  a0c8293737e36046
     59         C         406350    3.54806e+06   -3.14171e+06  1a1c110d575de951  32e2378f2fa4f6e7
     60         C         270848    3.52108e+06   -3.25023e+06  1a22f1dae7a08a45  a4e3cbbbe21215c2
     61         P    1.25475e+08     2.3157e+07    1.02318e+08  1a3d9411a3e07154  9ecb18bfd75ce01b
     62         C        5.66666             61       -55.3333  1a55a1979cda5997  4a9fb386cd755664
     63         P        42046.3         129618       -87571.7  1a7b59be075bd9ad  06015133fb49e2b4
     64         C        4962.66          10250       -5287.34  1a9464af17ad06de  3a3839557381d248
     65         P        76.6666            240       -163.333  1ab213f148394ec1  67e25f14e7bff8fb
     66         C         815740    3.37955e+07   -3.29798e+07  1b1983d5121376b6  2b7f68496e173266
     67         P    3.35381e+06    1.34897e+06    2.00484e+06  1b903cc5a97ef811  2a4e2f3df83c608a
     68         C        98.3332             69        29.3332  1be4121bbc555d07  b249e4812e9d21fa
     69         P    6.44757e+06    2.18104e+06    4.26653e+06  1c1c423faddbf3e7  9dc9029891e88a0c
     70         P    7.45063e+06     3.6923e+06    3.75833e+06  1d91e10171e4d263  ad6c41832e498315
     71         C         181407    1.55776e+06   -1.37635e+06  1db07aec63e7195a  98fd59201102909b
     72         C        1962.66         235520        -233557  1e91adaea9a9de0c  d36f44b473f08da1
     73         P        16704.3          85866       -69161.7  205929090a57a056  cbc90a27cf870fbf
     74         C         504161    4.80924e+08    -4.8042e+08  207d4d91eb38ea18  b111ddd73cbeb07c
     75         P              5            690           -685  207f2b36ae2c9f49  de96237b36cff1ae
     76         C         812544    1.07603e+07   -9.94776e+06  20ac6e9ac335ce88  c32a39f085cbce0d
     77         C         266539    3.98779e+06   -3.72125e+06  20e038526eb32c24  e29c15e9e1546dfe
     78         P            235           4680          -4445  2163428517f89a66  d91db2f9bb8f42aa
     79         C       0.666666             77       -76.3333  21ac646361537729  cd5e9b69fcd9f7e0
     80         P         366878         186390         180488  21e077687e8d66b3  7eb8a3c065395f2e
     81         P         735907         226380         509527  220a1a69fa77bd74  b0eef79bc67a0c75
     82         P         733218         226380         506838  225c496c9d52586e  e7d8b0db33556ac8
     83         C          17685         184320        -166635  22d351a5af850a5f  7e06ca73baa98bc6
     84         P    3.59619e+07          38031    3.59239e+07  22d76c3c64b56991  a8e656e5db4d5b68
     85         P    6.27935e+08    3.39012e+08    2.88923e+08  22e8e35fc3299d65  6db1f13cefe7a676
     86         P    1.00771e+08     2.6093e+07     7.4678e+07  233c47dda32f9de0  fb5741760a8a64a7
     87         P        153.333           1926       -1772.67  2396a8cee37f0f07  9b4dd4a64397b89a
     88         C        12674.3         123012        -110338  23b8ff94fc827f29  17a9b547a4bd2475
     89         C        145.333           3358       -3212.67  23c08e210c51c839  b998fe328d85fa6a
     90         C        16.3333            435       -418.667  23c74f4ad8647038  7b245c495acc1256
     91         C    2.42714e+06    2.38996e+07   -2.14725e+07  24206a7a0293cb51  030b930bab538a68
     92         P              5            525           -520  24eede4d3615449a  88a3862a844b845b
     93         P    1.25334e+07     4.8989e+06     7.6345e+06  256255ab5415440a  09500ebc9c3af2a5
     94         P    1.04838e+07    6.95461e+06    3.52919e+06  25b2ce97f36eb074  232628830b643f47
     95         C       0.666666            132       -131.333  26d058b1724e689e  9ce69864b19041a7
     96         C       0.666666             55       -54.3333  28f0fa2be3928f21  1d79a1130063381c
     97         C        62.3333             96       -33.6667  29c8315c0b0e1027  d148b7517b087c77
     98         P          39926           9240          30686  2a6c7b27668fd602  ed6e604b51834c62
     99         P          10050          38400         -28350  2ac63f438b07aea8  da5855f6187be986
    100         P         984014         452760         531254  2b20d8fd13c25487  52f570393e0ee775
    101         P        21599.6          41160       -19560.4  2b986c1fca460446  20c61c5e39e4c84b
    102         P          23611          41160         -17549  2cdc4bef097e08c6  adb3d590f4b271ef
    103         C       0.666666             66       -65.3333  2d37ed9bed293d58  7110ea1573070d02
    104         P         826077         452760         373317  2d4530cdf552b090  374f5f39c3c58b75
    105         P          13309          38400         -25091  2d9e061da72bcefd  a70d299da1a202f1
    106         P        6424.33          15360       -8935.67  2dc7e1c4dcfe91db  aa34e4452174da42
    107         C       0.666666           1158       -1157.33  2dddfe264f57049b  722119daea9d94b0
    108         P        308.333           2546       -2237.67  2ead0416565ee148  89635638b5464ab2
    109         P    1.10186e+06         318026         783834  2f4bc78c2d1f6c21  dd146f491fbf3949
    110         C       0.666666             70       -69.3333  2f88551dba611e24  2a7967831d876bed
    111         P         286093          92160         193933  2fbb8eca6ac06ea7  420fe153053a2843
    112         C         135424     1.2458e+06   -1.11038e+06  30527234b991583b  eeef3061d240188a
    113         P          11216          38400         -27184  30f7618484f6847b  327521a4c0a8c9da
    114         C        74.3333            739       -664.667  328b4bd08dc3bf0b  bf66bbbce8f0eb5c
    115         P        81.9999            240           -158  32bc88ccc4f4b1ce  0c09f73d669a18a6
    116         C       0.333333             55       -54.6667  32de2a051bbe0b0c  8b07602fc178c4ea
    117         C       0.333333             65       -64.6667  334467873c9796c5  e48e9cc9197fb6b8
    118         C    1.23101e+06    9.60372e+06   -8.37271e+06  33d6b88d609db7fc  1e001213d818a01c
    119         P    5.01016e+07    1.68083e+07    3.32933e+07  341fdc407ac65b62  113818ac41cda1a3
    120         P    3.79969e+06           8513    3.79118e+06  342ba04f9c605ccf  a4d2017a0fd185c4
    121         P        8090.66          15360       -7269.34  34498f7902dfa7d3  983e937e53997b2f
    122         P        10541.3           3338         7203.3  34c7c536f8da9f1f  c4746e2d039bdb3a
    123         P    2.13925e+06         521426    1.61782e+06  35475331fa7bdcc2  e4e18238c970ca7f
