CPU only time (ns): 1.07943e+10
PIM only time (ns): 1.92931e+10
Reuse offloading time (ns): 1.01985e+10 = CPU 9.49225e+09 + PIM 4.79617e+08 + REUSE 2.26618e+08 + SWITCH 8.78036e+08
============================================================
  BBLID  Decision            CPU            PIM     difference          Hash(hi)          Hash(lo)
      0         C         932797    1.15027e+09   -1.14934e+09  0000000000000000  0000000000000000
      1         C        79.9999           2279          -2199  0000000000000001  0000000000000001
      2         P        84.6666              4        80.6666  006be2c147ebc848  e1bf8b7d8c5f3f94
      3         C      3.308e+07    1.69662e+08   -1.36582e+08  00e63b2796318e8f  217e9e3aeb6804ae
      4         C        83961.6    1.50749e+06   -1.42353e+06  00eb5c712e0605a0  afd9bc515a2d2b43
      5         C        18.3333             81       -62.6667  01098fb532e792e0  40d15301ff01b248
      6         P    1.39904e+06         463956         935084  01683d80c44db207  333ce92d59596771
      7         C    5.24646e+06    7.09224e+06   -1.84578e+06  019273de1e760795  72b55b1b1cc98f5c
      8         C     1.3252e+07    4.43355e+07   -3.10835e+07  0232dff0807b0b3c  a169398abdfa116e
      9         P        1714.33           5487       -3772.67  023ea0deea5b34ae  841a104e87a84781
     10         C       0.666666              0       0.666666  027723f25e3d54e9  fee045ff205467bb
     11         C        3635.66          33703       -30067.3  028b07981eba6e27  1c26db0e6f5a65e6
     12         C    2.42471e+06    4.20574e+06   -1.78103e+06  03129f55642f0f2d  b2828855f81dc361
     13         C         533398            392         533006  036fca166b545d53  6504a4f9af4a0be6
     14         C        2.33333            848       -845.667  044258d801e1ccdb  f6465c69d681c378
     15         C    2.87153e+06    3.21738e+07   -2.93023e+07  04cbd0c02387de45  6664a44e992ffc6c
     16         C        104.333            337       -232.667  04db0ec732b476c0  88ebfe1425883e85
     17         C        91.3332            142       -50.6668  0527f29d4d06b711  1af8ffdc968a88c9
     18         C          41726         486435        -444709  05a4d377d457940f  9ecd062daab5aae0
     19         C    1.57568e+07    1.77392e+07    -1.9824e+06  05ac30b87579c47e  c5778d8f9ce2d54b
     20         P          15020          11426           3594  05b181abe46d6704  b92e49aade126b1b
     21         C        6.99999            360           -353  060d948a539d48c5  1a28f1f87151a5e7
     22         C        24160.3          63441       -39280.7  067981221d5cce81  ef45b430f5898df6
     23         P        814.666           1425       -610.334  06d3769da4e3bb33  e780c689a72d432d
     24         C       0.333333             74       -73.6667  07e4b0b4d83b455f  bb5ed03f6f68be5d
     25         C        20604.6          31131       -10526.4  084744d0b5ef3acc  35aeebdf4e2f248c
     26         C       0.333333            100       -99.6667  084fcf3d6bf5184a  6af7d99d3c348bb6
     27         P    1.33749e+07     1.9801e+06    1.13948e+07  09acaf59410d2ad9  b4864335c3e1b7de
     28         C       0.333333             69       -68.6667  0ac4834503fd1d98  23418a8949afd39a
     29         C        12560.3           5909         6651.3  0aea818e414ae1c8  e90a0c5529be5fc9
     30         C     4.4604e+07    5.18042e+07    -7.2002e+06  0b5a75eedffe4fa0  72a85319800dac7a
     31         C    2.26574e+06    2.99121e+06        -725470  0bb1d54489bc3a2f  52897b3052bf5ebc
     32         C        354.666           7102       -6747.33  0bc961bf5d894ad0  83dee5ac224442da
     33         P     1.0411e+06         105739         935361  0bf6abe8b2f95b45  4ce6112b752467e0
     34         C        3391.33           8439       -5047.67  0c09e648ce56c32c  77bd1690cafe6c06
     35         C    2.37627e+08    3.41132e+08   -1.03505e+08  0c402e0a3ae029f1  6340a53a8fd62c6f
     36         C        1.66667            251       -249.333  0c4b48935ed3a0a0  c4edea2adc0fd612
