CPU only time (ns): 1.38924e+10
PIM only time (ns): 6.37545e+09
Reuse offloading time (ns): 6.37093e+09 = CPU 1.01293e+06 + PIM 6.36982e+09 + REUSE 103320 + SWITCH 38880
============================================================
  BBLID  Decision            CPU            PIM     difference          Hash(hi)          Hash(lo)
      0         C         845271    4.25818e+06   -3.41291e+06  0000000000000000  0000000000000000
      1         C        5744.99          50650         -44905  0000000000000001  0000000000000001
      2         P    5.60476e+07    4.44577e+07    1.15899e+07  006e708e3a06c847  99513cdaa9deee9d
      3         P    9.38667e+06    3.73266e+06    5.65401e+06  01104a4b76a750c2  f67156178611d07c
      4         P        2021.66            600        1421.66  0203b140c9030d14  0c1e7280e6eb19b3
      5         P    1.63381e+07    4.20683e+06    1.21313e+07  03cd4afc575da737  b6f3d0ad55b70bee
      6         C        1127.33          16243       -15115.7  044352f20627e6cc  b71338ab06c27b17
      7         C              2            127           -125  04cd4cff091642e4  7a730a3f4cb31ed6
      8         C             43            585           -542  05d08ece6ce0e1ed  6e20405b972be854
      9         P        307.333             45        262.333  05d0b57c0aa91ac7  e0fefef2d81c0406
     10         P        54143.6          20000        34143.6  05e5b3d68259bcfb  edd42663f0b7e945
     11         P    2.07489e+07    1.25652e+07     8.1837e+06  062610d42dc3b554  cda18ec392fc560c
     12         P    1.32756e+07        3.2e+06    1.00756e+07  065c59d772d80e41  356dcc9d13498e23
     13         P         132429         287608        -155179  085f514e64c0fe11  e919a6f0a7f0d610
     14         C        429.666           3518       -3088.33  088d92dcd033702b  03077dff95802685
     15         P        41.6666            201       -159.333  09c74a513b1aeb5a  722db3f817ba43b7
     16         P    2.29517e+07    7.81902e+06    1.51327e+07  0c6a259bb6a6cb44  f215881cfa3d81c7
     17         P            115            157            -42  0c7b04483d79d320  24901dcc956ace41
     18         P     2.9641e+07    8.25443e+06    2.13866e+07  11c6bcbc7ab27436  503f869d29d322a2
     19         P         956451         400000         556451  1259ac03614d170f  a0adefbe857890c4
     20         P     2.1702e+06         714772    1.45543e+06  13ea946a031e80ae  aa22cd2f88a59d38
     21         P         942274         692455         249819  14772566f72ba50f  0174c8f3d7bff193
     22         P    1.42762e+06         475000         952620  14e258cdba49ca23  496ee90460f3f5e6
     23         C        2712.66          48627       -45914.3  153cf6e4c7335723  061943db3e280580
     24         P        769.333            179        590.333  154bc7ec45877e0c  f790b6e02758f267
     25         P        1289.33          22372       -21082.7  159a42fbda2cfbcc  8ee63ce1886a2d4d
     26         P    3.43808e+07       1.52e+07    1.91808e+07  166110db7e0f493f  94fedd794439da31
     27         P    1.94758e+08    9.54322e+07    9.93258e+07  172cf831f0ceafc0  a1f02aa5835ecd7d
     28         P        107.333            358       -250.667  1849ed1221173618  90472272c49d8694
     29         C        81.3333            319       -237.667  18ea398e09b48699  c1494c5bd07ad5ac
     30         P        3051.33          16915       -13863.7  1bebce7acfc33234  829670a5c4dd5341
     31         P        86696.2          25000        61696.2  1cb66b275294fce5  3356acc24af2e01d
     32         C             26            499           -473  1edc67cbbe898260  f79dd42163570996
     33         C        3.33333             81       -77.6667  239fe2712d0a0002  73a0ef3feec31879
     34         C       0.999999              5             -4  24015dc3bd3a71a7  63469194cc16caad
     35         P    1.97791e+08    1.01119e+08     9.6672e+07  24ac65f189284a70  125d4d3360e1aefb
     36         C        629.666          89753       -89123.3  2550d94d1824927e  fc68c35d158313be
     37         P    3.50751e+06    1.02841e+06     2.4791e+06  2556321610d33de8  2401080d12f4919e
     38         P    5.20259e+07    4.00053e+07    1.20206e+07  25de4df866b96137  aa8361622b5632d5
     39         C       0.666666             60       -59.3333  267d2ec3d2b94401  e61e91a95d3af51d
     40         P    2.05616e+07        9.6e+06    1.09616e+07  274dbc6ed1f1a530  8ea08a8894353117
     41         P    1.97237e+07    8.14044e+06    1.15833e+07  28a4312c409e5de8  ef88571468f8e553
     42         P        1533.67           2174        -640.33  28f927eabe951a00  c49ef81b037b719d
     43         P    1.70666e+07          8e+06     9.0666e+06  293b2fac3ff35960  1f7f257b2cc1a6ee
     44         C        299.333            204         95.333  2bf11537af985d4c  2872554899e63732
     45         P    5.59143e+08    4.50096e+08    1.09047e+08  2ce8f54b5a5a68dd  3e12eed378c37405
     46         C             36            212           -176  2d8f474f0c5fd90c  0eccceb4482a17e9
     47         P          10797           3496           7301  2ed976fc31b17f42  bd74ca46f9f4ab46
     48         P    3.22681e+08    1.08066e+08    2.14615e+08  3131a3004cc393f2  a339d60f3447ef48
     49         P    1.04833e+06         500000         548330  31ea6d7a3fabfff8  8473ca219ea64109
     50         P     2.0927e+07    8.91809e+06    1.20089e+07  3242920659ee10a5  d46e38a419c20317
     51         P         586666         276982         309684  3259a49bff7423eb  93755178d7007ddf
     52         P         278349         175187         103162  338e4790d647facc  934cb79e552a721f
     53         P    2.10663e+07    6.33621e+06    1.47301e+07  3583a4834a703984  b7dcc939b9e40df5
     54         P        121.333             63         58.333  3631a479fa43e7b6  dffed93333fc6232
     55         C        88010.6         615723        -527712  36335481d0248bb4  aa9b115b1d28739e
     56         C        764.333           6451       -5686.67  36c703a171c0e494  db32dc4cd1b27320
     57         P         932335         594652         337683  396c186544fad7d8  a97a7d8459ab2fa9
